vlookup,row,raw_unit,source_unit,source_type,source_eng,source_chs,target_unit,target_type,target_eng,target_chs,sourcePar1_mw,sourcePar2,sourcePar3,derivePar1,derivePar2,derivePar3,derivePar4,ConversionFactors,ConversionFunction,test_input,test_output1,test_output2
kg_kg,1,kg,kg,质量,kilogram,千克,kg,质量,kilogram,千克,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
g_kg,2,,g,质量,gram,克,kg,质量,kilogram,千克,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
mg_kg,3,,mg,质量,milligram,毫克,kg,质量,kilogram,千克,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
ug_kg,4,,ug,质量,microgram,微克,kg,质量,kilogram,千克,mw,,,,*10^,-9,*10^-9,1*10^-9,source_unit*10^-9,,,
ng_kg,5,,ng,质量,nanogram,纳克,kg,质量,kilogram,千克,mw,,,,*10^,-12,*10^-12,1*10^-12,source_unit*10^-12,,,
pg_kg,6,,pg,质量,picogram,皮克,kg,质量,kilogram,千克,mw,,,,*10^,-15,*10^-15,1*10^-15,source_unit*10^-15,,,
fg_kg,7,,fg,质量,femtogram,飞克,kg,质量,kilogram,千克,mw,,,,*10^,-18,*10^-18,1*10^-18,source_unit*10^-18,,,
ag_kg,8,,ag,质量,attogram,阿克,kg,质量,kilogram,千克,mw,,,,*10^,-21,*10^-21,1*10^-21,source_unit*10^-21,,,
zg_kg,9,,zg,质量,zeptogram,仄克,kg,质量,kilogram,千克,mw,,,,*10^,-24,*10^-24,1*10^-24,source_unit*10^-24,,,
yg_kg,10,,yg,质量,yoctogram,幺克,kg,质量,kilogram,千克,mw,,,,*10^,-27,*10^-27,1*10^-27,source_unit*10^-27,,,
kg_g,11,,kg,质量,kilogram,千克,g,质量,gram,克,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
g_g,12,,g,质量,gram,克,g,质量,gram,克,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
mg_g,13,,mg,质量,milligram,毫克,g,质量,gram,克,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
ug_g,14,,ug,质量,microgram,微克,g,质量,gram,克,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
ng_g,15,,ng,质量,nanogram,纳克,g,质量,gram,克,mw,,,,*10^,-9,*10^-9,1*10^-9,source_unit*10^-9,,,
pg_g,16,,pg,质量,picogram,皮克,g,质量,gram,克,mw,,,,*10^,-12,*10^-12,1*10^-12,source_unit*10^-12,,,
fg_g,17,,fg,质量,femtogram,飞克,g,质量,gram,克,mw,,,,*10^,-15,*10^-15,1*10^-15,source_unit*10^-15,,,
ag_g,18,,ag,质量,attogram,阿克,g,质量,gram,克,mw,,,,*10^,-18,*10^-18,1*10^-18,source_unit*10^-18,,,
zg_g,19,,zg,质量,zeptogram,仄克,g,质量,gram,克,mw,,,,*10^,-21,*10^-21,1*10^-21,source_unit*10^-21,,,
yg_g,20,,yg,质量,yoctogram,幺克,g,质量,gram,克,mw,,,,*10^,-24,*10^-24,1*10^-24,source_unit*10^-24,,,
kg_mg,21,,kg,质量,kilogram,千克,mg,质量,milligram,毫克,mw,,,,*10^,6,*10^6,1*10^6,source_unit*10^6,,,
g_mg,22,,g,质量,gram,克,mg,质量,milligram,毫克,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
mg_mg,23,,mg,质量,milligram,毫克,mg,质量,milligram,毫克,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
ug_mg,24,,ug,质量,microgram,微克,mg,质量,milligram,毫克,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
ng_mg,25,,ng,质量,nanogram,纳克,mg,质量,milligram,毫克,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
pg_mg,26,,pg,质量,picogram,皮克,mg,质量,milligram,毫克,mw,,,,*10^,-9,*10^-9,1*10^-9,source_unit*10^-9,,,
fg_mg,27,,fg,质量,femtogram,飞克,mg,质量,milligram,毫克,mw,,,,*10^,-12,*10^-12,1*10^-12,source_unit*10^-12,,,
ag_mg,28,,ag,质量,attogram,阿克,mg,质量,milligram,毫克,mw,,,,*10^,-15,*10^-15,1*10^-15,source_unit*10^-15,,,
zg_mg,29,,zg,质量,zeptogram,仄克,mg,质量,milligram,毫克,mw,,,,*10^,-18,*10^-18,1*10^-18,source_unit*10^-18,,,
yg_mg,30,,yg,质量,yoctogram,幺克,mg,质量,milligram,毫克,mw,,,,*10^,-21,*10^-21,1*10^-21,source_unit*10^-21,,,
kg_ug,31,,kg,质量,kilogram,千克,ug,质量,microgram,微克,mw,,,,*10^,9,*10^9,1*10^9,source_unit*10^9,,,
g_ug,32,,g,质量,gram,克,ug,质量,microgram,微克,mw,,,,*10^,6,*10^6,1*10^6,source_unit*10^6,,,
mg_ug,33,,mg,质量,milligram,毫克,ug,质量,microgram,微克,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
ug_ug,34,,ug,质量,microgram,微克,ug,质量,microgram,微克,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
ng_ug,35,,ng,质量,nanogram,纳克,ug,质量,microgram,微克,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
pg_ug,36,,pg,质量,picogram,皮克,ug,质量,microgram,微克,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
fg_ug,37,,fg,质量,femtogram,飞克,ug,质量,microgram,微克,mw,,,,*10^,-9,*10^-9,1*10^-9,source_unit*10^-9,,,
ag_ug,38,,ag,质量,attogram,阿克,ug,质量,microgram,微克,mw,,,,*10^,-12,*10^-12,1*10^-12,source_unit*10^-12,,,
zg_ug,39,,zg,质量,zeptogram,仄克,ug,质量,microgram,微克,mw,,,,*10^,-15,*10^-15,1*10^-15,source_unit*10^-15,,,
yg_ug,40,,yg,质量,yoctogram,幺克,ug,质量,microgram,微克,mw,,,,*10^,-18,*10^-18,1*10^-18,source_unit*10^-18,,,
kg_ng,41,,kg,质量,kilogram,千克,ng,质量,nanogram,纳克,mw,,,,*10^,12,*10^12,1*10^12,source_unit*10^12,,,
g_ng,42,,g,质量,gram,克,ng,质量,nanogram,纳克,mw,,,,*10^,9,*10^9,1*10^9,source_unit*10^9,,,
mg_ng,43,,mg,质量,milligram,毫克,ng,质量,nanogram,纳克,mw,,,,*10^,6,*10^6,1*10^6,source_unit*10^6,,,
ug_ng,44,,ug,质量,microgram,微克,ng,质量,nanogram,纳克,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
ng_ng,45,,ng,质量,nanogram,纳克,ng,质量,nanogram,纳克,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
pg_ng,46,,pg,质量,picogram,皮克,ng,质量,nanogram,纳克,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
fg_ng,47,,fg,质量,femtogram,飞克,ng,质量,nanogram,纳克,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
ag_ng,48,,ag,质量,attogram,阿克,ng,质量,nanogram,纳克,mw,,,,*10^,-9,*10^-9,1*10^-9,source_unit*10^-9,,,
zg_ng,49,,zg,质量,zeptogram,仄克,ng,质量,nanogram,纳克,mw,,,,*10^,-12,*10^-12,1*10^-12,source_unit*10^-12,,,
yg_ng,50,,yg,质量,yoctogram,幺克,ng,质量,nanogram,纳克,mw,,,,*10^,-15,*10^-15,1*10^-15,source_unit*10^-15,,,
kg_pg,51,,kg,质量,kilogram,千克,pg,质量,picogram,皮克,mw,,,,*10^,15,*10^15,1*10^15,source_unit*10^15,,,
g_pg,52,,g,质量,gram,克,pg,质量,picogram,皮克,mw,,,,*10^,12,*10^12,1*10^12,source_unit*10^12,,,
mg_pg,53,,mg,质量,milligram,毫克,pg,质量,picogram,皮克,mw,,,,*10^,9,*10^9,1*10^9,source_unit*10^9,,,
ug_pg,54,,ug,质量,microgram,微克,pg,质量,picogram,皮克,mw,,,,*10^,6,*10^6,1*10^6,source_unit*10^6,,,
ng_pg,55,,ng,质量,nanogram,纳克,pg,质量,picogram,皮克,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
pg_pg,56,,pg,质量,picogram,皮克,pg,质量,picogram,皮克,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
fg_pg,57,,fg,质量,femtogram,飞克,pg,质量,picogram,皮克,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
ag_pg,58,,ag,质量,attogram,阿克,pg,质量,picogram,皮克,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
zg_pg,59,,zg,质量,zeptogram,仄克,pg,质量,picogram,皮克,mw,,,,*10^,-9,*10^-9,1*10^-9,source_unit*10^-9,,,
yg_pg,60,,yg,质量,yoctogram,幺克,pg,质量,picogram,皮克,mw,,,,*10^,-12,*10^-12,1*10^-12,source_unit*10^-12,,,
kg_fg,61,,kg,质量,kilogram,千克,fg,质量,femtogram,飞克,mw,,,,*10^,18,*10^18,1*10^18,source_unit*10^18,,,
g_fg,62,,g,质量,gram,克,fg,质量,femtogram,飞克,mw,,,,*10^,15,*10^15,1*10^15,source_unit*10^15,,,
mg_fg,63,,mg,质量,milligram,毫克,fg,质量,femtogram,飞克,mw,,,,*10^,12,*10^12,1*10^12,source_unit*10^12,,,
ug_fg,64,,ug,质量,microgram,微克,fg,质量,femtogram,飞克,mw,,,,*10^,9,*10^9,1*10^9,source_unit*10^9,,,
ng_fg,65,,ng,质量,nanogram,纳克,fg,质量,femtogram,飞克,mw,,,,*10^,6,*10^6,1*10^6,source_unit*10^6,,,
pg_fg,66,,pg,质量,picogram,皮克,fg,质量,femtogram,飞克,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
fg_fg,67,,fg,质量,femtogram,飞克,fg,质量,femtogram,飞克,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
ag_fg,68,,ag,质量,attogram,阿克,fg,质量,femtogram,飞克,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
zg_fg,69,,zg,质量,zeptogram,仄克,fg,质量,femtogram,飞克,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
yg_fg,70,,yg,质量,yoctogram,幺克,fg,质量,femtogram,飞克,mw,,,,*10^,-9,*10^-9,1*10^-9,source_unit*10^-9,,,
kg_ag,71,,kg,质量,kilogram,千克,ag,质量,attogram,阿克,mw,,,,*10^,21,*10^21,1*10^21,source_unit*10^21,,,
g_ag,72,,g,质量,gram,克,ag,质量,attogram,阿克,mw,,,,*10^,18,*10^18,1*10^18,source_unit*10^18,,,
mg_ag,73,,mg,质量,milligram,毫克,ag,质量,attogram,阿克,mw,,,,*10^,15,*10^15,1*10^15,source_unit*10^15,,,
ug_ag,74,,ug,质量,microgram,微克,ag,质量,attogram,阿克,mw,,,,*10^,12,*10^12,1*10^12,source_unit*10^12,,,
ng_ag,75,,ng,质量,nanogram,纳克,ag,质量,attogram,阿克,mw,,,,*10^,9,*10^9,1*10^9,source_unit*10^9,,,
pg_ag,76,,pg,质量,picogram,皮克,ag,质量,attogram,阿克,mw,,,,*10^,6,*10^6,1*10^6,source_unit*10^6,,,
fg_ag,77,,fg,质量,femtogram,飞克,ag,质量,attogram,阿克,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
ag_ag,78,,ag,质量,attogram,阿克,ag,质量,attogram,阿克,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
zg_ag,79,,zg,质量,zeptogram,仄克,ag,质量,attogram,阿克,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
yg_ag,80,,yg,质量,yoctogram,幺克,ag,质量,attogram,阿克,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
kg_zg,81,,kg,质量,kilogram,千克,zg,质量,zeptogram,仄克,mw,,,,*10^,24,*10^24,1*10^24,source_unit*10^24,,,
g_zg,82,,g,质量,gram,克,zg,质量,zeptogram,仄克,mw,,,,*10^,21,*10^21,1*10^21,source_unit*10^21,,,
mg_zg,83,,mg,质量,milligram,毫克,zg,质量,zeptogram,仄克,mw,,,,*10^,18,*10^18,1*10^18,source_unit*10^18,,,
ug_zg,84,,ug,质量,microgram,微克,zg,质量,zeptogram,仄克,mw,,,,*10^,15,*10^15,1*10^15,source_unit*10^15,,,
ng_zg,85,,ng,质量,nanogram,纳克,zg,质量,zeptogram,仄克,mw,,,,*10^,12,*10^12,1*10^12,source_unit*10^12,,,
pg_zg,86,,pg,质量,picogram,皮克,zg,质量,zeptogram,仄克,mw,,,,*10^,9,*10^9,1*10^9,source_unit*10^9,,,
fg_zg,87,,fg,质量,femtogram,飞克,zg,质量,zeptogram,仄克,mw,,,,*10^,6,*10^6,1*10^6,source_unit*10^6,,,
ag_zg,88,,ag,质量,attogram,阿克,zg,质量,zeptogram,仄克,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
zg_zg,89,,zg,质量,zeptogram,仄克,zg,质量,zeptogram,仄克,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
yg_zg,90,,yg,质量,yoctogram,幺克,zg,质量,zeptogram,仄克,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
kg_yg,91,,kg,质量,kilogram,千克,yg,质量,yoctogram,幺克,mw,,,,*10^,27,*10^27,1*10^27,source_unit*10^27,,,
g_yg,92,,g,质量,gram,克,yg,质量,yoctogram,幺克,mw,,,,*10^,24,*10^24,1*10^24,source_unit*10^24,,,
mg_yg,93,,mg,质量,milligram,毫克,yg,质量,yoctogram,幺克,mw,,,,*10^,21,*10^21,1*10^21,source_unit*10^21,,,
ug_yg,94,,ug,质量,microgram,微克,yg,质量,yoctogram,幺克,mw,,,,*10^,18,*10^18,1*10^18,source_unit*10^18,,,
ng_yg,95,,ng,质量,nanogram,纳克,yg,质量,yoctogram,幺克,mw,,,,*10^,15,*10^15,1*10^15,source_unit*10^15,,,
pg_yg,96,,pg,质量,picogram,皮克,yg,质量,yoctogram,幺克,mw,,,,*10^,12,*10^12,1*10^12,source_unit*10^12,,,
fg_yg,97,,fg,质量,femtogram,飞克,yg,质量,yoctogram,幺克,mw,,,,*10^,9,*10^9,1*10^9,source_unit*10^9,,,
ag_yg,98,,ag,质量,attogram,阿克,yg,质量,yoctogram,幺克,mw,,,,*10^,6,*10^6,1*10^6,source_unit*10^6,,,
zg_yg,99,,zg,质量,zeptogram,仄克,yg,质量,yoctogram,幺克,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
yg_yg,100,,yg,质量,yoctogram,幺克,yg,质量,yoctogram,幺克,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
kmol_kmol,101,,kmol,摩尔,kilomole,千摩尔,kmol,摩尔,kilomole,千摩尔,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
mol_kmol,102,,mol,摩尔,mole,摩尔,kmol,摩尔,kilomole,千摩尔,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
mmol_kmol,103,,mmol,摩尔,millimole,毫摩尔,kmol,摩尔,kilomole,千摩尔,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
umol_kmol,104,,umol,摩尔,micromole,微摩尔,kmol,摩尔,kilomole,千摩尔,mw,,,,*10^,-9,*10^-9,1*10^-9,source_unit*10^-9,,,
nmol_kmol,105,,nmol,摩尔,nanomole,纳摩尔,kmol,摩尔,kilomole,千摩尔,mw,,,,*10^,-12,*10^-12,1*10^-12,source_unit*10^-12,,,
pmol_kmol,106,,pmol,摩尔,picomole,皮摩尔,kmol,摩尔,kilomole,千摩尔,mw,,,,*10^,-15,*10^-15,1*10^-15,source_unit*10^-15,,,
fmol_kmol,107,,fmol,摩尔,femtomole,飞摩尔,kmol,摩尔,kilomole,千摩尔,mw,,,,*10^,-18,*10^-18,1*10^-18,source_unit*10^-18,,,
amol_kmol,108,,amol,摩尔,attomole,阿摩尔,kmol,摩尔,kilomole,千摩尔,mw,,,,*10^,-21,*10^-21,1*10^-21,source_unit*10^-21,,,
zmol_kmol,109,,zmol,摩尔,zeptomole,仄摩尔,kmol,摩尔,kilomole,千摩尔,mw,,,,*10^,-24,*10^-24,1*10^-24,source_unit*10^-24,,,
ymol_kmol,110,,ymol,摩尔,yoctomole,幺摩尔,kmol,摩尔,kilomole,千摩尔,mw,,,,*10^,-27,*10^-27,1*10^-27,source_unit*10^-27,,,
kmol_mol,111,,kmol,摩尔,kilomole,千摩尔,mol,摩尔,mole,摩尔,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
mol_mol,112,,mol,摩尔,mole,摩尔,mol,摩尔,mole,摩尔,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
mmol_mol,113,,mmol,摩尔,millimole,毫摩尔,mol,摩尔,mole,摩尔,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
umol_mol,114,,umol,摩尔,micromole,微摩尔,mol,摩尔,mole,摩尔,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
nmol_mol,115,,nmol,摩尔,nanomole,纳摩尔,mol,摩尔,mole,摩尔,mw,,,,*10^,-9,*10^-9,1*10^-9,source_unit*10^-9,,,
pmol_mol,116,,pmol,摩尔,picomole,皮摩尔,mol,摩尔,mole,摩尔,mw,,,,*10^,-12,*10^-12,1*10^-12,source_unit*10^-12,,,
fmol_mol,117,,fmol,摩尔,femtomole,飞摩尔,mol,摩尔,mole,摩尔,mw,,,,*10^,-15,*10^-15,1*10^-15,source_unit*10^-15,,,
amol_mol,118,,amol,摩尔,attomole,阿摩尔,mol,摩尔,mole,摩尔,mw,,,,*10^,-18,*10^-18,1*10^-18,source_unit*10^-18,,,
zmol_mol,119,,zmol,摩尔,zeptomole,仄摩尔,mol,摩尔,mole,摩尔,mw,,,,*10^,-21,*10^-21,1*10^-21,source_unit*10^-21,,,
ymol_mol,120,,ymol,摩尔,yoctomole,幺摩尔,mol,摩尔,mole,摩尔,mw,,,,*10^,-24,*10^-24,1*10^-24,source_unit*10^-24,,,
kmol_mmol,121,,kmol,摩尔,kilomole,千摩尔,mmol,摩尔,millimole,毫摩尔,mw,,,,*10^,6,*10^6,1*10^6,source_unit*10^6,,,
mol_mmol,122,,mol,摩尔,mole,摩尔,mmol,摩尔,millimole,毫摩尔,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
mmol_mmol,123,,mmol,摩尔,millimole,毫摩尔,mmol,摩尔,millimole,毫摩尔,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
umol_mmol,124,,umol,摩尔,micromole,微摩尔,mmol,摩尔,millimole,毫摩尔,mw,,,,*10^,-3,*10^-3,1*10^-3,source_unit*10^-3,,,
nmol_mmol,125,,nmol,摩尔,nanomole,纳摩尔,mmol,摩尔,millimole,毫摩尔,mw,,,,*10^,-6,*10^-6,1*10^-6,source_unit*10^-6,,,
pmol_mmol,126,,pmol,摩尔,picomole,皮摩尔,mmol,摩尔,millimole,毫摩尔,mw,,,,*10^,-9,*10^-9,1*10^-9,source_unit*10^-9,,,
fmol_mmol,127,,fmol,摩尔,femtomole,飞摩尔,mmol,摩尔,millimole,毫摩尔,mw,,,,*10^,-12,*10^-12,1*10^-12,source_unit*10^-12,,,
amol_mmol,128,,amol,摩尔,attomole,阿摩尔,mmol,摩尔,millimole,毫摩尔,mw,,,,*10^,-15,*10^-15,1*10^-15,source_unit*10^-15,,,
zmol_mmol,129,,zmol,摩尔,zeptomole,仄摩尔,mmol,摩尔,millimole,毫摩尔,mw,,,,*10^,-18,*10^-18,1*10^-18,source_unit*10^-18,,,
ymol_mmol,130,,ymol,摩尔,yoctomole,幺摩尔,mmol,摩尔,millimole,毫摩尔,mw,,,,*10^,-21,*10^-21,1*10^-21,source_unit*10^-21,,,
kmol_umol,131,,kmol,摩尔,kilomole,千摩尔,umol,质量,micromole,微摩尔,mw,,,,*10^,9,*10^9,1*10^9,source_unit*10^9,,,
mol_umol,132,,mol,摩尔,mole,摩尔,umol,质量,micromole,微摩尔,mw,,,,*10^,6,*10^6,1*10^6,source_unit*10^6,,,
mmol_umol,133,,mmol,摩尔,millimole,毫摩尔,umol,质量,micromole,微摩尔,mw,,,,*10^,3,*10^3,1*10^3,source_unit*10^3,,,
umol_umol,134,,umol,摩尔,micromole,微摩尔,umol,质量,micromole,微摩尔,mw,,,,*10^,0,*10^0,1*10^0,source_unit*10^0,,,
